company_name,primary_role,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,cb_url,logo_url,profile_image_url,twitter_url,uuid,created_at,updated_at
USRealty.com,company,usrealty.com,https://usrealty.com/,USA,NY,New York City,New York,10036,"1185 Avenue of the Americas, Suite 1750",operating,USRealty.com is a New York City based innovative online real estate company.,,,1,,2014-01-01,2016-10-20,2016-10-20,,11-50,info@USRealty.com,(866)534-3726,,https://www.crunchbase.com/organization/usrealty,https://www.crunchbase.com/organization/usrealty/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477026868/et6foaguyodml6vrckuj.png,,0b723098-d24e-f252-11a6-61a67b72531f,2016-10-21 05:17:56.364127,2016-10-21 19:00:28.284964
Venbrook Insurance Services,company,venbrook.com,http://www.venbrook.com/,USA,CA,Los Angeles,Woodland Hills,91367,"6320 Canoga Avenue, 12th floor",operating,Venbrook Insurance Services is a national leader in insurance broking and risk management solutions.,,,1,42000000,2000-01-01,2016-10-20,2016-10-20,,101-250,info@venbrook.com,(818)598-8900,https://www.facebook.com/venbrook-group-814090078608151/,https://www.crunchbase.com/organization/venbrook-insurance-services,https://www.crunchbase.com/organization/venbrook-insurance-services/primary-image/raw,http://public.crunchbase.com/t_api_images/v1477023012/arnquf5yjtjypy1bjstk.png,https://www.twitter.com/venbrook,b85405f9-8e9e-e862-661b-b9f1c4257d0e,2016-10-21 04:12:32.090379,2016-10-21 06:31:47.761915
Verdigris Technologies,company,verdigris.co,http://www.verdigris.co,USA,CA,CA - Other,Moffett Field,94035,"NASA Ames Research, Building 19, Room 2073",operating,Verdigris Technologies is a SaaS-based platform that develops artificial intelligence in order to optimize energy consumption.,big data|energy management|internet of things|software,data and analytics|energy|internet services|software,6,16562000,2011-01-01,2011-11-09,2016-10-20,,11-50,info@verdigris.co,6502272418,http://www.facebook.com/verdigristech,https://www.crunchbase.com/organization/verdigris-technologies,https://www.crunchbase.com/organization/verdigris-technologies/primary-image/raw,http://public.crunchbase.com/t_api_images/v1425142763/mwi9yunl7bg6if0hzrka.png,https://www.twitter.com/verdigristech,2d9667bc-823f-1e88-ac66-9f5f62f55a64,2012-11-08 14:37:13,2016-10-21 04:12:03.42337
WeShop,company,weshop.com,http://www.weshop.com,USA,NY,New York City,New York,,"",closed,"WeShop was a consumer network in beta that facilitated communication between consumers, merchants and vendors.",curated web,internet services,3,5750000,,2010-08-04,2016-10-20,,11-50,info@weshop.com,,,https://www.crunchbase.com/organization/weshop,https://www.crunchbase.com/organization/weshop/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397187079/ce1b01c2b3e6b85b2d4240ebdc443551.jpg,https://www.twitter.com/weshop,f706b85f-2680-f695-a6c9-6e8cb6bc6e72,2010-07-17 21:24:12,2016-10-20 10:23:49.856087
Wilderness Safaris,company,wilderness-safaris.com,http://www.wilderness-safaris.com,,,,,,"",operating,Wilderness Safaris is a company that protects wilderness areas with the flaura and fauna in their areas.,,,1,35000000,1983-01-01,2016-10-20,2016-10-20,,5001-10000,socialmedia@wilderness.co.za,27118072110,https://www.facebook.com/wilderness.friends,https://www.crunchbase.com/organization/wilderness-safaris,https://www.crunchbase.com/organization/wilderness-safaris/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476945888/o2ulfqpaerurc9dofvca.png,https://www.twitter.com/wearewilderness,33f309bf-8fb7-f9ac-aa67-ab21ce904dab,2012-05-24 19:26:52,2016-10-20 09:26:41.805016
EverQuote,company,everquote.com,https://www.everquote.com/,USA,MA,Boston,Cambridge,02139,"210 Broadway, Suite 302",operating,EverQuote is an independent insurance marketplace and is a free service that helps consumers compare quotes on auto insurance.,internet,internet services,2,24568676,2010-01-01,2015-04-30,2016-10-21,,101-250,,(617) 245-0615,https://www.facebook.com/everquote,https://www.crunchbase.com/organization/everquote,https://www.crunchbase.com/organization/everquote/primary-image/raw,http://public.crunchbase.com/t_api_images/v1431680329/j9p0kkg1a2reylivgwq8.png,https://www.twitter.com/everquoteinsure,14829078-9288-a615-fbc4-c3f287486196,2015-05-15 08:59:30,2016-10-21 15:12:11.942836
Makerist,company,makerist.de,http://www.makerist.de,DEU,,Berlin,Berlin,10969,Ritterstraße 11,operating,Makerist is the leading European DIY and handicraft platform.,e-commerce,commerce and shopping,2,5477651.18317266,2013-06-26,2013-12-18,2016-10-21,,11-50,hallo@makerist.de,+49030208987240,http://www.facebook.com/makerist,https://www.crunchbase.com/organization/makerist,https://www.crunchbase.com/organization/makerist/primary-image/raw,http://public.crunchbase.com/t_api_images/v1468569828/h4gff0fcpxxhnyynhncw.png,https://www.twitter.com/makerist,9d7e89a4-a4cf-452c-a36b-c457aafcfc8f,2013-12-18 18:02:12,2016-10-21 10:59:35.133951
Monzo,company,monzo.com,https://monzo.com/,GBR,,London,London,,Epworth St,operating,"Building a bank as smart as your phone. Intelligent notifications, instant balance updates and financial management.",banking|finance|fintech,financial services|lending and investments,4,17699015.1178734,2015-01-01,2015-06-30,2016-10-21,,11-50,hello@getmondo.co.uk,,https://www.facebook.com/monzobank,https://www.crunchbase.com/organization/mondo,https://www.crunchbase.com/organization/mondo/primary-image/raw,http://public.crunchbase.com/t_api_images/v1472235222/pscyelpson1a8otn7wap.png,https://www.twitter.com/monzo,9185a077-c260-ac40-2678-fef9e645591b,2015-05-25 03:38:03,2016-10-21 04:01:10.41063
Solutions Infini,company,solutionsinfini.com,http://www.solutionsinfini.com,IND,,Bangalore,Bangalore,560078,"No. 45/B, 1st Floor, 1st A Main, Sarakki Industrial Layout, 3rd Phase, JP Nagar",operating,Leading provider in Enterprise Messages,app marketing|messaging|public relations|sms,information technology|internet services|messaging and telecommunications|sales and marketing,1,,2009-04-30,2016-10-21,2016-10-21,,51-100,contact@solutionsinfini.com,+91 80 4027 5555,http://www.facebook.com/solutionsinfini,https://www.crunchbase.com/organization/solutions-infini,https://www.crunchbase.com/organization/solutions-infini/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397186128/601a1a61e762ff70df950d4e7aa6d2bd.png,https://www.twitter.com/solutionsinfini,b7504f9f-8397-b921-b847-3f6da3a11f4e,2012-10-11 14:53:22,2016-10-21 10:04:49.19459
ZappiStore,company,zappistore.com,https://zappistore.com,GBR,,London,London,NW1 7JR,Bedford House 125-133 Camden High Street,operating,ZappiStore is the online research provider that is changing the way that companies are accessing insight.,internet,internet services,1,14723926.3803681,2012-01-01,2016-10-21,2016-10-21,,11-50,contact@zappistore.com,(401) 330-0748,https://www.facebook.com/zappistore,https://www.crunchbase.com/organization/zappistore,https://www.crunchbase.com/organization/zappistore/primary-image/raw,http://public.crunchbase.com/t_api_images/v1435737779/y5qd17xdig6ljwawpvip.png,https://www.twitter.com/zappistore,c331dd1f-f18c-5e80-2105-ede74c824b6c,2015-07-01 08:03:10,2016-10-21 15:16:04.028786
